PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,Goals,MarketValueEUR,GoalToMarketValueRatio
141,1570,49,5,3,0,10644000,0.0000
142,1979,55,5,3,5,43595000,0.1147
143,654,8,1,2,0,61767000,0.0000
144,450,64,6,5,3,10315000,0.2908
145,435,46,4,2,0,31191000,0.0000
146,1506,72,6,3,7,31856000,0.2197
147,1270,59,5,2,5,23570000,0.2121
148,1445,53,5,5,1,23584000,0.0424
149,1958,52,5,3,4,29025000,0.1378
150,1161,63,6,4,9,35696000,0.2521
151,1617,69,6,4,0,12625000,0.0000
152,1290,35,3,3,1,41196000,0.0243
153,2,20,2,1,10,114940000,0.0870
154,196,14,2,3,3,34322000,0.0874
155,289,63,6,3,6,28576000,0.2100
156,1160,29,3,2,5,102569000,0.0487
157,1090,46,4,2,5,124113000,0.0403
158,1568,90,8,3,0,4601000,0.0000
159,100,64,6,1,4,20990000,0.1906
160,110,61,6,5,13,63363000,0.2052
161,1141,86,8,2,2,4979000,0.4017
162,1594,36,3,4,0,44346000,0.0000
163,619,82,7,1,2,10234000,0.1954
164,553,85,8,2,6,17235000,0.3481
165,141,52,5,3,0,12447000,0.0000
166,687,11,1,1,3,74906000,0.0401
167,174,82,7,3,0,10631000,0.0000
168,516,27,3,3,3,50795000,0.0591
169,424,62,6,2,3,32632000,0.0919
170,1225,24,2,5,0,37671000,0.0000
171,1321,74,7,4,2,23861000,0.0838
172,1664,91,8,2,3,17165000,0.1748
173,222,44,4,4,8,51774000,0.1545
174,838,38,4,5,4,27368000,0.1462
175,695,15,2,3,11,121158000,0.0908
176,520,21,2,3,0,7787000,0.0000
177,1008,85,8,4,0,34246000,0.0000
178,679,8,1,5,0,40188000,0.0000
179,1850,88,8,3,0,16721000,0.0000
180,660,25,3,4,1,19105000,0.0523
181,201,63,6,5,15,65051000,0.2306
182,1825,63,6,4,5,59859000,0.0835
183,1970,75,7,4,0,25303000,0.0000
184,1455,37,4,4,4,47045000,0.0850
185,1779,87,8,5,3,25576000,0.1173
186,1754,83,7,1,6,25900000,0.2317
187,811,38,4,4,1,21881000,0.0457
188,1399,59,5,3,0,62216000,0.0000
189,667,15,2,3,12,101757000,0.1179
190,1243,67,6,5,5,22318000,0.2240
191,1284,12,1,5,6,37416000,0.1604
192,310,65,6,2,2,44291000,0.0452
193,1255,23,2,1,6,19965000,0.3005
194,1900,91,8,3,1,31106000,0.0321
195,632,73,7,2,0,9199000,0.0000
196,1313,5,1,3,0,15151000,0.0000
197,152,38,4,5,0,20172000,0.0000
198,931,7,1,3,0,21449000,0.0000
199,871,63,6,3,0,19144000,0.0000
200,1466,77,7,4,0,58390000,0.0000
201,82,84,7,3,0,15293000,0.0000
202,1882,14,2,2,3,50851000,0.0590
203,1763,69,6,1,0,15655000,0.0000
204,1931,78,7,1,3,72488000,0.0414
205,556,49,5,1,0,5121000,0.0000
206,1063,54,5,4,6,56713000,0.1058
207,1555,22,2,4,0,23957000,0.0000
208,1306,31,3,2,8,39157000,0.2043
209,1926,18,2,4,0,9901000,0.0000
210,1335,10,1,1,4,9739000,0.4107
211,881,10,1,5,0,73589000,0.0000
212,304,41,4,3,2,12304000,0.1625
213,1445,53,5,2,0,21908000,0.0000
214,720,74,7,2,2,12443000,0.1607
215,1194,84,7,2,0,6217000,0.0000
216,786,64,6,4,2,13634000,0.1467
217,1180,3,1,5,0,35641000,0.0000
218,1021,93,8,3,3,26702000,0.1124
219,1459,72,6,5,9,20763000,0.4335
220,1793,83,7,2,11,35699000,0.3081
221,430,86,8,4,7,11511000,0.6081
222,292,19,2,3,11,73237000,0.1502
223,1559,59,5,3,1,18182000,0.0550
224,1244,94,8,5,0,15362000,0.0000
225,915,65,6,5,1,16230000,0.0616
226,1121,24,2,5,2,22319000,0.0896
227,1641,94,8,5,0,6206000,0.0000
228,694,13,2,3,14,65359000,0.2142
229,1538,81,7,3,0,14901000,0.0000
230,292,19,2,2,3,22351000,0.1342
231,1751,49,5,2,13,90153000,0.1442
232,341,62,6,4,2,14185000,0.1410
233,773,11,1,4,0,24211000,0.0000
234,1989,19,2,4,2,33411000,0.0599
235,578,10,1,2,0,14583000,0.0000
236,867,75,7,3,2,62763000,0.0319
237,203,28,3,3,2,6207000,0.3222
238,810,10,1,5,0,18412000,0.0000
239,1619,62,6,3,1,8645000,0.1157
240,256,23,2,3,0,14688000,0.0000
241,1426,59,5,3,11,78554000,0.1400
242,944,70,6,1,4,14283000,0.2801
243,1081,54,5,3,0,87910000,0.0000
244,1051,9,1,1,1,16288000,0.0614
245,700,46,4,5,0,23567000,0.0000
246,1160,29,3,4,6,39823000,0.1507
247,170,65,6,3,1,14778000,0.0677
248,1510,23,2,2,0,40104000,0.0000
249,623,17,2,5,1,85350000,0.0117
250,1435,86,8,4,2,9734000,0.2055
251,1478,84,7,5,2,17375000,0.1151
252,1990,56,5,2,2,24366000,0.0821
253,1078,58,5,1,0,10589000,0.0000
254,1398,8,1,3,3,42152000,0.0712
255,359,60,5,5,0,13806000,0.0000
256,1017,40,4,4,9,64208000,0.1402
257,749,1,1,4,3,11593000,0.2588
258,1674,76,7,3,1,54323000,0.0184
259,499,18,2,4,9,130958000,0.0687
260,1083,14,2,3,11,42612000,0.2581
261,1925,71,6,2,0,27064000,0.0000
262,796,27,3,3,2,23560000,0.0849
263,992,12,1,5,4,84909000,0.0471
264,545,14,2,3,2,20629000,0.0970
265,610,30,3,4,0,28779000,0.0000
266,790,74,7,5,2,14879000,0.1344
267,480,17,2,3,1,21717000,0.0460
268,1690,2,1,2,8,134100000,0.0597
269,1638,94,8,3,15,38146000,0.3932
270,62,41,4,3,10,62182000,0.1608
271,323,34,3,5,1,31408000,0.0318
272,118,91,8,1,11,30334000,0.3626
273,1859,68,6,3,3,19841000,0.1512
274,862,92,8,3,0,8208000,0.0000
275,1548,60,5,4,14,62479000,0.2241
276,1627,83,7,2,0,9804000,0.0000
277,1691,68,6,1,0,12802000,0.0000
278,1742,4,1,4,4,52644000,0.0760
279,1908,32,3,5,0,11010000,0.0000
280,83,26,3,2,2,26173000,0.0764
281,1748,69,6,5,6,8191000,0.7325
282,932,28,3,5,0,32562000,0.0000
283,1003,56,5,1,1,9390000,0.1065
284,1643,29,3,5,9,140055000,0.0643
285,1902,42,4,3,0,16846000,0.0000
286,119,91,8,5,3,5441000,0.5514
287,626,8,1,3,0,26143000,0.0000
288,1087,24,2,1,4,103121000,0.0388
289,1886,82,7,2,10,68880000,0.1452
290,700,46,4,3,1,35486000,0.0282
291,1243,31,3,2,4,51641000,0.0775
292,1746,82,7,2,9,41982000,0.2144
293,352,70,6,2,5,22166000,0.2256
294,1639,92,8,2,6,21191000,0.2831
295,112,20,2,3,3,24440000,0.1227
296,1375,3,1,3,4,67277000,0.0595
297,690,88,8,4,2,25683000,0.0779
298,221,81,7,1,0,16097000,0.0000
299,39,32,3,2,2,12671000,0.1578
300,417,78,7,2,1,17853000,0.0560
301,266,17,2,4,12,170601000,0.0703
302,1192,81,7,2,6,8629000,0.6953
303,1408,94,8,2,1,24018000,0.0416
304,1490,37,4,2,3,42535000,0.0705
305,1012,96,8,2,1,7324000,0.1365
306,1762,30,3,5,0,4951000,0.0000
307,1662,77,7,4,2,80977000,0.0247
308,642,52,5,1,11,47454000,0.2318
309,1187,61,6,1,3,54059000,0.0555
310,1579,39,4,1,3,50803000,0.0591
311,1074,22,2,4,7,38172000,0.1834
312,496,55,5,5,1,15965000,0.0626
313,1167,84,7,2,3,18401000,0.1630
314,1129,85,8,2,2,8937000,0.2238
315,460,13,2,5,4,41101000,0.0973
316,1882,14,2,3,3,21274000,0.1410
317,1802,63,6,1,0,8486000,0.0000
318,1592,7,1,2,8,31971000,0.2502
319,1148,69,6,4,3,35691000,0.0841
320,754,31,3,3,9,93883000,0.0959
321,1626,11,1,2,0,36109000,0.0000
322,1212,13,2,2,1,24169000,0.0414
323,1804,77,7,2,6,31617000,0.1898
324,671,51,5,3,1,34552000,0.0289
325,200,54,5,4,1,20377000,0.0491
326,1293,81,7,1,10,28529000,0.3505
327,413,2,1,5,0,24588000,0.0000
328,1582,86,8,2,11,26403000,0.4166
329,564,20,2,3,0,7655000,0.0000
330,1766,6,1,3,0,30451000,0.0000
331,130,63,6,2,10,23670000,0.4225
332,1202,36,3,2,1,82243000,0.0122
333,1361,30,3,2,1,110642000,0.0090
334,81,71,6,2,7,37612000,0.1861
335,1032,8,1,2,0,21651000,0.0000
336,1841,60,5,5,4,107865000,0.0371
337,508,78,7,2,5,30916000,0.1617
338,976,71,6,5,0,4778000,0.0000
339,1970,75,7,5,0,18694000,0.0000
340,434,11,1,4,7,44160000,0.1585
341,175,74,7,2,7,20220000,0.3462
342,1062,79,7,3,1,20167000,0.0496
343,788,27,3,4,2,59584000,0.0336
344,266,17,2,5,10,63189000,0.1583
345,185,2,1,4,13,47748000,0.2723
346,1679,60,5,4,1,10909000,0.0917
347,889,96,8,2,10,55854000,0.1790
348,536,38,4,3,2,53843000,0.0371
349,1596,46,4,4,2,24869000,0.0804
350,1691,24,2,5,0,21633000,0.0000
351,406,11,1,1,0,36315000,0.0000
352,1513,13,2,1,9,88972000,0.1012
353,1426,59,5,5,7,42811000,0.1635
354,1246,59,5,4,6,45291000,0.1325
355,653,87,8,3,1,16433000,0.0609
356,1641,94,8,2,0,30688000,0.0000
357,224,91,8,2,7,38161000,0.1834
358,618,46,4,3,7,31382000,0.2231
359,902,47,4,2,1,21525000,0.0465
360,93,33,3,3,3,52821000,0.0568
361,1477,3,1,5,14,74084000,0.1890
362,855,11,1,1,1,15136000,0.0661
363,1038,65,6,4,0,15373000,0.0000
364,732,43,4,5,5,27941000,0.1789
365,1235,42,4,5,3,19813000,0.1514
366,139,44,4,2,5,20804000,0.2403
367,100,16,2,3,9,132748000,0.0678
368,624,54,5,2,0,24061000,0.0000
369,632,73,7,3,0,18963000,0.0000
370,1393,86,8,2,0,10752000,0.0000
371,342,65,6,3,11,85069000,0.1293
372,1818,29,3,2,0,5635000,0.0000
373,762,66,6,2,1,18554000,0.0539
374,1295,86,8,4,13,45787000,0.2839
375,1476,20,2,5,5,39272000,0.1273
376,1371,33,3,1,0,20242000,0.0000
377,939,89,8,2,3,11552000,0.2597
378,1041,25,3,1,8,22582000,0.3543
379,126,22,2,4,7,64046000,0.1093
380,980,23,2,2,6,180000000,0.0333
381,1225,95,8,4,0,5768000,0.0000
382,979,23,2,3,15,92375000,0.1624
383,1149,47,4,3,8,84720000,0.0944
384,703,24,2,4,7,56816000,0.1232
385,509,69,6,2,10,52281000,0.1913
386,985,56,5,3,0,35906000,0.0000
387,1029,83,7,5,1,36402000,0.0275
388,1859,68,6,2,0,9933000,0.0000
389,933,22,2,2,3,90579000,0.0331
390,105,60,5,4,0,11898000,0.0000
391,1615,91,8,1,10,57379000,0.1743
392,1592,85,8,3,13,42753000,0.3041
393,1245,96,8,3,2,4493000,0.4451
394,1516,4,1,4,5,152234000,0.0328
395,1413,34,3,5,6,75908000,0.0790
396,1313,5,1,1,2,22530000,0.0888
397,1499,12,1,2,7,59816000,0.1170
398,1159,80,7,4,8,20163000,0.3968
399,1842,10,1,4,11,67748000,0.1624
400,136,39,4,3,2,46421000,0.0431
401,59,55,5,4,0,41525000,0.0000
402,1579,39,4,5,0,26734000,0.0000
403,1482,6,1,5,6,32247000,0.1861
404,1167,84,7,1,5,26974000,0.1854
405,1362,90,8,1,0,14434000,0.0000
406,1640,8,1,2,10,34017000,0.2940
407,26,50,5,4,2,15965000,0.1253
408,1773,94,8,2,0,4759000,0.0000
409,1805,46,4,1,2,61356000,0.0326
410,1658,47,4,4,5,19869000,0.2516
411,680,45,4,2,1,18266000,0.0547
412,1159,80,7,2,5,33939000,0.1473
413,212,6,1,4,19,87690000,0.2167
414,815,68,6,2,8,20422000,0.3917
415,1604,34,3,2,1,12802000,0.0781
416,973,20,2,3,0,44061000,0.0000
417,1162,69,6,3,3,19156000,0.1566
418,1378,28,3,4,3,21050000,0.1425
419,1869,8,1,3,4,130133000,0.0307
420,1694,48,4,5,4,59942000,0.0667
421,1490,37,4,5,10,52761000,0.1895
422,1866,80,7,3,4,20580000,0.1944
423,86,27,3,1,3,18985000,0.1580
424,1485,3,1,1,0,15724000,0.0000
425,1190,64,6,2,6,13172000,0.4555
426,1154,87,8,2,0,3873000,0.0000
427,649,48,4,2,7,78211000,0.0895
428,1562,21,2,4,2,25013000,0.0800
429,1620,96,8,3,7,19397000,0.3609
430,483,52,5,3,1,27501000,0.0364
431,725,45,4,4,0,10690000,0.0000
432,1523,65,6,3,4,21587000,0.1853
433,1003,62,6,3,1,7017000,0.1425
434,1821,30,3,5,4,85377000,0.0469
435,204,77,7,1,3,26604000,0.1128
436,1392,10,1,4,6,31441000,0.1908
437,1306,31,3,4,1,33638000,0.0297
438,834,89,8,3,3,10876000,0.2758
439,1713,83,7,5,7,21272000,0.3291
440,1274,16,2,5,10,65666000,0.1523
441,1126,48,4,2,11,40005000,0.2750
442,960,72,6,3,1,22510000,0.0444
443,1769,81,7,4,0,14834000,0.0000
444,398,96,8,5,0,36568000,0.0000
445,1654,7,1,5,4,49409000,0.0810
446,1423,6,1,5,5,158710000,0.0315
447,587,82,7,4,17,38049000,0.4468
448,1756,33,3,3,0,43688000,0.0000
449,1008,31,3,2,0,13288000,0.0000
450,936,73,7,3,0,7229000,0.0000
451,1629,39,4,2,2,40645000,0.0492
452,573,93,8,3,9,14713000,0.6117
453,400,44,4,3,2,38690000,0.0517
454,1102,10,1,2,3,29201000,0.1027
455,1153,79,7,2,1,19976000,0.0501
456,231,62,6,4,0,7552000,0.0000
457,1119,4,1,2,0,24960000,0.0000
458,332,8,1,3,5,45582000,0.1097
459,1252,61,6,2,0,12312000,0.0000
460,1272,85,8,1,2,17789000,0.1124
461,1594,36,3,3,0,4871000,0.0000
462,504,63,6,4,9,23327000,0.3858
463,1532,37,4,1,3,86073000,0.0349
464,692,39,4,4,9,73597000,0.1223
465,125,54,5,2,4,26521000,0.1508
466,1871,78,7,1,0,32932000,0.0000
467,1753,41,4,2,10,77797000,0.1285
468,566,36,3,3,6,30469000,0.1969
469,346,5,1,5,5,39478000,0.1267
470,1373,22,2,3,0,54032000,0.0000
471,716,46,4,3,7,45616000,0.1535
472,498,3,1,4,0,33657000,0.0000
473,55,19,2,5,17,28543000,0.5956
474,751,90,8,1,0,8208000,0.0000
475,1790,90,8,1,0,12966000,0.0000
476,466,13,2,3,0,18183000,0.0000
477,301,6,1,2,4,47703000,0.0839
478,638,8,1,5,7,43632000,0.1604
479,292,19,2,4,1,50290000,0.0199
480,1674,76,7,4,1,11104000,0.0901
481,1347,55,5,4,5,24041000,0.2080
482,368,76,7,4,6,20479000,0.2930
483,1522,46,4,1,8,51927000,0.1541
484,958,34,3,3,0,23279000,0.0000
485,416,2,1,4,2,48641000,0.0411
486,81,96,8,3,3,12080000,0.2483
487,1682,64,6,3,1,37167000,0.0269
488,645,94,8,2,16,21023000,0.7611
489,1605,70,6,2,6,12852000,0.4669
490,1163,8,1,2,5,81567000,0.0613
491,1204,50,5,5,5,96198000,0.0520
492,1200,13,2,3,5,36851000,0.1357
493,480,17,2,4,2,24588000,0.0813
494,857,88,8,3,3,15087000,0.1988
495,1253,26,3,2,0,57856000,0.0000
496,1717,59,5,2,16,161743000,0.0989
497,910,12,1,2,8,105650000,0.0757
498,1197,35,3,4,0,16953000,0.0000
499,391,82,7,5,1,38194000,0.0262
500,1382,54,5,2,0,27928000,0.0000
501,377,85,8,3,10,10261000,0.9746
502,1976,89,8,3,0,7440000,0.0000
503,1870,28,3,4,7,43583000,0.1606
504,115,15,2,2,3,44747000,0.0670
505,1528,19,2,2,1,28133000,0.0355
506,1456,40,4,4,17,49655000,0.3424
507,1214,90,8,3,10,10243000,0.9763
508,1154,87,8,3,3,15360000,0.1953
509,334,22,2,5,0,8864000,0.0000
510,466,13,2,1,1,14991000,0.0667
511,613,50,5,2,5,31028000,0.1611
512,380,18,2,3,5,45389000,0.1102
513,1059,59,5,3,1,34682000,0.0288
514,1373,11,1,5,0,15774000,0.0000
515,1413,34,3,4,11,92004000,0.1196
516,558,83,7,4,0,13937000,0.0000
517,1140,62,6,2,0,11117000,0.0000
518,210,9,1,2,7,105955000,0.0661
519,1581,16,2,5,2,71225000,0.0281
520,1640,8,1,3,10,60756000,0.1646
521,1331,83,7,2,2,17129000,0.1168
522,100,64,6,2,1,9175000,0.1090
523,1046,56,5,3,1,23089000,0.0433
524,1250,90,8,3,6,16774000,0.3577
525,1847,40,4,2,1,16554000,0.0604
526,1325,19,2,4,0,14011000,0.0000
527,760,95,8,4,0,8090000,0.0000
528,1727,34,3,3,1,63544000,0.0157
529,1403,63,6,1,2,14263000,0.1402
530,1236,77,7,4,5,55675000,0.0898
531,1688,8,1,2,1,32305000,0.0310
532,1034,11,1,3,13,75949000,0.1712
533,1949,78,7,4,6,34121000,0.1758
534,822,55,5,5,4,42353000,0.0944
535,537,94,8,5,0,6936000,0.0000
536,817,69,6,1,10,26863000,0.3723
537,1502,1,1,4,9,39629000,0.2271
538,1421,25,3,3,0,24771000,0.0000
539,1080,54,5,4,2,28605000,0.0699
540,1482,6,1,2,4,34307000,0.1166
541,1273,9,1,4,2,25771000,0.0776
542,711,9,1,2,4,13417000,0.2981
543,835,65,6,3,4,17011000,0.2351
544,1598,24,2,2,11,119864000,0.0918
545,748,60,5,4,3,27259000,0.1101
546,1492,37,4,4,4,114133000,0.0350
547,1627,83,7,3,3,41751000,0.0719
548,535,37,4,4,0,16734000,0.0000
549,784,75,7,4,7,73138000,0.0957
550,852,35,3,2,2,36488000,0.0548
551,303,3,1,4,0,37659000,0.0000
552,1178,29,3,3,9,44632000,0.2016
553,593,8,1,4,5,84970000,0.0588
554,1792,25,3,4,14,26623000,0.5259
555,6,68,6,5,0,11701000,0.0000
556,1274,26,3,4,9,91802000,0.0980
557,1232,52,5,3,0,12191000,0.0000
558,320,21,2,3,8,55960000,0.1430
559,428,22,2,2,5,107868000,0.0464
560,216,50,5,2,9,58676000,0.1534
561,1302,11,1,3,2,16848000,0.1187
562,1127,23,2,4,2,20080000,0.0996
563,1144,63,6,1,3,18348000,0.1635
564,927,13,2,5,11,56798000,0.1937
565,652,32,3,5,10,67208000,0.1488
566,109,59,5,2,4,70988000,0.0563
567,731,73,7,5,7,68152000,0.1027
568,129,83,7,3,0,10436000,0.0000
569,1381,15,2,5,3,67967000,0.0441
570,1639,92,8,1,3,21973000,0.1365
571,913,62,6,3,0,6913000,0.0000
572,1238,5,1,3,4,123000000,0.0325
573,789,21,2,3,3,58447000,0.0513
574,373,53,5,1,0,18427000,0.0000
575,1026,20,2,5,4,74099000,0.0540
576,1951,33,3,1,10,61277000,0.1632
577,988,94,8,5,2,14868000,0.1345
578,844,74,7,3,0,17472000,0.0000
579,785,39,4,3,4,26523000,0.1508
580,1589,52,5,4,0,19489000,0.0000
581,692,39,4,3,3,13099000,0.2290
582,282,87,8,3,9,9407000,0.9567
583,1715,96,8,4,9,27225000,0.3306
584,1549,19,2,4,11,18697000,0.5883
585,1321,74,7,2,4,47477000,0.0843
586,585,49,5,4,1,18100000,0.0552
587,1139,35,3,4,4,35814000,0.1117
588,1222,55,5,4,7,36092000,0.1939
589,1957,81,7,2,5,46210000,0.1082
590,1496,44,4,5,0,48582000,0.0000
591,1735,64,6,4,7,28754000,0.2434
592,429,41,4,3,1,57281000,0.0175
593,1502,1,1,3,10,57227000,0.1747
594,1342,24,2,3,7,67015000,0.1045
595,1968,36,3,4,0,23473000,0.0000
596,475,26,3,3,0,50729000,0.0000
597,644,66,6,5,0,9493000,0.0000
598,1723,44,4,3,3,68303000,0.0439
599,1720,2,1,3,7,68445000,0.1023
600,1720,2,1,2,3,29688000,0.1011
601,249,34,3,5,1,22965000,0.0435
602,1898,23,2,2,16,71879000,0.2226
603,1556,41,4,3,0,47941000,0.0000
604,701,95,8,3,6,40219000,0.1492
605,687,87,8,3,4,17045000,0.2347
606,1613,69,6,3,9,11195000,0.8039
607,673,21,2,4,4,108593000,0.0368
608,1209,85,8,2,11,25319000,0.4345
609,1919,71,6,4,1,4230000,0.2364
610,655,31,3,2,0,28656000,0.0000
611,452,81,7,4,6,26863000,0.2234
612,1501,52,5,4,1,45203000,0.0221
613,242,93,8,3,0,4877000,0.0000
614,1498,15,2,2,0,2009000,0.0000
615,695,15,2,2,10,67702000,0.1477
616,1358,31,3,2,1,112561000,0.0089
617,1493,84,7,4,0,20141000,0.0000
618,758,10,1,2,2,17526000,0.1141
619,1762,79,7,4,3,45685000,0.0657
620,612,52,5,3,5,17646000,0.2834
621,1195,92,8,4,1,13011000,0.0769
622,1161,58,5,5,4,58096000,0.0689
623,1465,95,8,5,1,9986000,0.1001
624,1811,57,5,1,1,25070000,0.0399
625,1052,77,7,1,4,53400000,0.0749
626,979,69,6,5,8,28437000,0.2813
627,372,93,8,5,12,30454000,0.3940
628,974,13,2,5,0,22693000,0.0000
629,1985,37,4,1,0,34123000,0.0000
630,419,86,8,1,1,18350000,0.0545
631,1057,27,3,3,15,85029000,0.1764
632,637,39,4,1,4,100658000,0.0397
633,668,38,4,4,0,26671000,0.0000
634,1042,15,2,3,5,180000000,0.0278
635,1474,57,5,1,1,19879000,0.0503
636,56,14,2,5,8,127010000,0.0630
637,48,3,1,5,1,62816000,0.0159
638,1045,56,5,3,4,42971000,0.0931
639,11,77,7,2,0,13779000,0.0000
640,654,8,1,5,0,11370000,0.0000
641,145,96,8,4,2,10103000,0.1980
642,1404,81,7,4,0,9882000,0.0000
643,1841,17,2,2,9,90827000,0.0991
644,677,73,7,5,4,6937000,0.5766
