PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,Goals,Assists,GoalContributions
84,1028,56,5,3,2,2,4
85,940,52,5,1,13,2,15
86,1852,26,3,5,2,5,7
87,138,29,3,2,0,1,1
88,1313,30,3,5,0,0,0
89,333,1,1,2,0,0,0
90,1497,6,1,5,1,0,1
91,1395,55,5,2,4,1,5
92,1176,82,7,5,4,7,11
93,1279,60,5,4,0,0,0
94,979,23,2,4,2,0,2
95,1541,23,2,1,3,8,11
96,1521,31,3,2,1,1,2
97,1543,22,2,5,8,6,14
98,129,83,7,2,0,1,1
99,1645,19,2,4,3,7,10
100,1523,65,6,5,4,5,9
101,876,67,6,1,13,2,15
102,1178,56,5,5,5,3,8
103,1094,96,8,3,1,0,1
104,1660,53,5,5,1,0,1
105,1206,5,1,2,9,0,9
106,596,2,1,4,7,8,15
107,1276,66,6,4,2,0,2
108,1735,64,6,3,7,1,8
109,1451,79,7,1,3,2,5
110,9,31,3,3,6,6,12
111,65,61,6,2,1,2,3
112,1769,49,5,2,2,2,4
113,4,89,8,2,0,0,0
114,253,46,4,2,3,5,8
115,139,44,4,4,1,4,5
116,715,41,4,3,3,3,6
117,1896,75,7,4,9,8,17
118,1510,23,2,3,3,1,4
119,851,1,1,3,9,6,15
120,498,3,1,3,0,0,0
121,854,20,2,4,10,1,11
122,1225,44,4,3,0,0,0
123,757,15,2,2,2,1,3
124,673,21,2,2,0,4,4
125,950,37,4,2,2,6,8
126,463,74,7,1,10,9,19
127,50,6,1,2,3,2,5
128,328,6,1,4,0,3,3
129,1307,45,4,1,8,4,12
130,233,91,8,1,7,5,12
131,866,54,5,3,1,0,1
132,734,92,8,3,4,7,11
133,545,14,2,4,0,0,0
134,1719,28,3,4,5,1,6
135,1535,23,2,2,0,3,3
136,1827,66,6,1,1,1,2
137,111,14,2,1,1,3,4
138,1659,7,1,3,12,9,21
139,1131,26,3,2,1,2,3
140,1582,86,8,3,10,4,14
141,1570,49,5,3,0,0,0
142,1979,55,5,3,5,3,8
143,654,8,1,2,0,2,2
144,450,64,6,5,3,7,10
145,435,46,4,2,0,2,2
146,1506,72,6,3,7,6,13
147,1270,59,5,2,5,3,8
148,1445,53,5,5,1,1,2
149,1958,52,5,3,4,5,9
150,1161,63,6,4,9,8,17
151,1617,69,6,4,0,2,2
152,1290,35,3,3,1,2,3
153,2,20,2,1,10,6,16
154,196,14,2,3,3,2,5
155,289,63,6,3,6,7,13
156,1160,29,3,2,5,4,9
157,1090,46,4,2,5,4,9
158,1568,90,8,3,0,0,0
159,100,64,6,1,4,2,6
160,110,61,6,5,13,7,20
161,1141,86,8,2,2,2,4
162,1594,36,3,4,0,3,3
163,619,82,7,1,2,3,5
164,553,85,8,2,6,6,12
165,141,52,5,3,0,0,0
166,687,11,1,1,3,6,9
167,174,82,7,3,0,2,2
168,516,27,3,3,3,5,8
169,424,62,6,2,3,4,7
170,1225,24,2,5,0,0,0
171,1321,74,7,4,2,2,4
172,1664,91,8,2,3,0,3
173,222,44,4,4,8,8,16
174,838,38,4,5,4,8,12
175,695,15,2,3,11,10,21
176,520,21,2,3,0,0,0
177,1008,85,8,4,0,3,3
178,679,8,1,5,0,2,2
179,1850,88,8,3,0,0,0
180,660,25,3,4,1,1,2
181,201,63,6,5,15,5,20
182,1825,63,6,4,5,4,9
183,1970,75,7,4,0,0,0
184,1455,37,4,4,4,3,7
185,1779,87,8,5,3,6,9
186,1754,83,7,1,6,10,16
187,811,38,4,4,1,1,2
188,1399,59,5,3,0,0,0
189,667,15,2,3,12,5,17
190,1243,67,6,5,5,4,9
191,1284,12,1,5,6,8,14
192,310,65,6,2,2,5,7
193,1255,23,2,1,6,4,10
194,1900,91,8,3,1,1,2
195,632,73,7,2,0,2,2
196,1313,5,1,3,0,0,0
197,152,38,4,5,0,0,0
198,931,7,1,3,0,3,3
199,871,63,6,3,0,1,1
200,1466,77,7,4,0,2,2
201,82,84,7,3,0,0,0
202,1882,14,2,2,3,5,8
203,1763,69,6,1,0,1,1
204,1931,78,7,1,3,11,14
205,556,49,5,1,0,1,1
206,1063,54,5,4,6,7,13
207,1555,22,2,4,0,1,1
208,1306,31,3,2,8,7,15
209,1926,18,2,4,0,0,0
210,1335,10,1,1,4,2,6
211,881,10,1,5,0,1,1
212,304,41,4,3,2,5,7
213,1445,53,5,2,0,0,0
214,720,74,7,2,2,3,5
215,1194,84,7,2,0,0,0
216,786,64,6,4,2,1,3
217,1180,3,1,5,0,1,1
218,1021,93,8,3,3,6,9
219,1459,72,6,5,9,5,14
220,1793,83,7,2,11,4,15
221,430,86,8,4,7,3,10
222,292,19,2,3,11,6,17
223,1559,59,5,3,1,1,2
224,1244,94,8,5,0,1,1
225,915,65,6,5,1,1,2
226,1121,24,2,5,2,2,4
227,1641,94,8,5,0,0,0
228,694,13,2,3,14,6,20
229,1538,81,7,3,0,0,0
230,292,19,2,2,3,1,4
231,1751,49,5,2,13,7,20
232,341,62,6,4,2,4,6
233,773,11,1,4,0,2,2
234,1989,19,2,4,2,1,3
235,578,10,1,2,0,0,0
236,867,75,7,3,2,6,8
237,203,28,3,3,2,1,3
238,810,10,1,5,0,0,0
239,1619,62,6,3,1,0,1
240,256,23,2,3,0,0,0
241,1426,59,5,3,11,4,15
242,944,70,6,1,4,6,10
243,1081,54,5,3,0,0,0
244,1051,9,1,1,1,1,2
245,700,46,4,5,0,2,2
246,1160,29,3,4,6,8,14
247,170,65,6,3,1,4,5
248,1510,23,2,2,0,1,1
249,623,17,2,5,1,1,2
250,1435,86,8,4,2,3,5
251,1478,84,7,5,2,4,6
252,1990,56,5,2,2,3,5
253,1078,58,5,1,0,0,0
254,1398,8,1,3,3,2,5
255,359,60,5,5,0,0,0
256,1017,40,4,4,9,7,16
257,749,1,1,4,3,4,7
258,1674,76,7,3,1,1,2
259,499,18,2,4,9,3,12
260,1083,14,2,3,11,6,17
261,1925,71,6,2,0,3,3
262,796,27,3,3,2,3,5
263,992,12,1,5,4,5,9
264,545,14,2,3,2,3,5
265,610,30,3,4,0,1,1
266,790,74,7,5,2,0,2
267,480,17,2,3,1,4,5
268,1690,2,1,2,8,4,12
269,1638,94,8,3,15,5,20
270,62,41,4,3,10,3,13
271,323,34,3,5,1,3,4
272,118,91,8,1,11,4,15
273,1859,68,6,3,3,2,5
274,862,92,8,3,0,2,2
275,1548,60,5,4,14,2,16
276,1627,83,7,2,0,2,2
277,1691,68,6,1,0,1,1
278,1742,4,1,4,4,0,4
279,1908,32,3,5,0,3,3
280,83,26,3,2,2,0,2
281,1748,69,6,5,6,4,10
282,932,28,3,5,0,2,2
283,1003,56,5,1,1,1,2
284,1643,29,3,5,9,6,15
285,1902,42,4,3,0,0,0
286,119,91,8,5,3,2,5
287,626,8,1,3,0,0,0
288,1087,24,2,1,4,4,8
289,1886,82,7,2,10,3,13
290,700,46,4,3,1,1,2
291,1243,31,3,2,4,3,7
292,1746,82,7,2,9,3,12
293,352,70,6,2,5,3,8
294,1639,92,8,2,6,6,12
295,112,20,2,3,3,8,11
296,1375,3,1,3,4,2,6
297,690,88,8,4,2,1,3
298,221,81,7,1,0,0,0
299,39,32,3,2,2,5,7
300,417,78,7,2,1,2,3
301,266,17,2,4,12,7,19
302,1192,81,7,2,6,6,12
303,1408,94,8,2,1,5,6
304,1490,37,4,2,3,4,7
305,1012,96,8,2,1,2,3
306,1762,30,3,5,0,2,2
307,1662,77,7,4,2,5,7
308,642,52,5,1,11,6,17
309,1187,61,6,1,3,5,8
310,1579,39,4,1,3,1,4
311,1074,22,2,4,7,2,9
312,496,55,5,5,1,0,1
313,1167,84,7,2,3,1,4
314,1129,85,8,2,2,2,4
315,460,13,2,5,4,4,8
316,1882,14,2,3,3,1,4
317,1802,63,6,1,0,0,0
318,1592,7,1,2,8,1,9
319,1148,69,6,4,3,4,7
320,754,31,3,3,9,10,19
321,1626,11,1,2,0,1,1
322,1212,13,2,2,1,2,3
323,1804,77,7,2,6,3,9
324,671,51,5,3,1,1,2
325,200,54,5,4,1,0,1
326,1293,81,7,1,10,3,13
327,413,2,1,5,0,0,0
328,1582,86,8,2,11,1,12
329,564,20,2,3,0,0,0
330,1766,6,1,3,0,0,0
331,130,63,6,2,10,5,15
332,1202,36,3,2,1,3,4
333,1361,30,3,2,1,3,4
334,81,71,6,2,7,6,13
335,1032,8,1,2,0,0,0
336,1841,60,5,5,4,6,10
337,508,78,7,2,5,6,11
338,976,71,6,5,0,1,1
339,1970,75,7,5,0,0,0
340,434,11,1,4,7,3,10
341,175,74,7,2,7,5,12
342,1062,79,7,3,1,3,4
343,788,27,3,4,2,1,3
344,266,17,2,5,10,5,15
345,185,2,1,4,13,4,17
346,1679,60,5,4,1,1,2
347,889,96,8,2,10,3,13
348,536,38,4,3,2,2,4
349,1596,46,4,4,2,2,4
350,1691,24,2,5,0,2,2
351,406,11,1,1,0,0,0
352,1513,13,2,1,9,6,15
353,1426,59,5,5,7,3,10
354,1246,59,5,4,6,5,11
355,653,87,8,3,1,5,6
356,1641,94,8,2,0,0,0
357,224,91,8,2,7,4,11
358,618,46,4,3,7,2,9
359,902,47,4,2,1,0,1
360,93,33,3,3,3,7,10
361,1477,3,1,5,14,5,19
362,855,11,1,1,1,3,4
363,1038,65,6,4,0,0,0
364,732,43,4,5,5,4,9
365,1235,42,4,5,3,9,12
366,139,44,4,2,5,5,10
367,100,16,2,3,9,8,17
368,624,54,5,2,0,0,0
369,632,73,7,3,0,1,1
370,1393,86,8,2,0,0,0
371,342,65,6,3,11,3,14
372,1818,29,3,2,0,0,0
373,762,66,6,2,1,3,4
374,1295,86,8,4,13,5,18
375,1476,20,2,5,5,5,10
376,1371,33,3,1,0,1,1
377,939,89,8,2,3,2,5
378,1041,25,3,1,8,1,9
379,126,22,2,4,7,1,8
380,980,23,2,2,6,5,11
381,1225,95,8,4,0,1,1
382,979,23,2,3,15,5,20
383,1149,47,4,3,8,5,13
384,703,24,2,4,7,3,10
385,509,69,6,2,10,7,17
386,985,56,5,3,0,1,1
387,1029,83,7,5,1,2,3
388,1859,68,6,2,0,0,0
389,933,22,2,2,3,6,9
390,105,60,5,4,0,2,2
391,1615,91,8,1,10,3,13
392,1592,85,8,3,13,4,17
393,1245,96,8,3,2,0,2
394,1516,4,1,4,5,7,12
395,1413,34,3,5,6,4,10
396,1313,5,1,1,2,1,3
397,1499,12,1,2,7,4,11
398,1159,80,7,4,8,2,10
399,1842,10,1,4,11,4,15
400,136,39,4,3,2,7,9
401,59,55,5,4,0,1,1
402,1579,39,4,5,0,2,2
403,1482,6,1,5,6,4,10
404,1167,84,7,1,5,1,6
405,1362,90,8,1,0,0,0
406,1640,8,1,2,10,3,13
407,26,50,5,4,2,5,7
408,1773,94,8,2,0,0,0
409,1805,46,4,1,2,1,3
410,1658,47,4,4,5,4,9
411,680,45,4,2,1,2,3
412,1159,80,7,2,5,10,15
413,212,6,1,4,19,8,27
414,815,68,6,2,8,3,11
415,1604,34,3,2,1,4,5
416,973,20,2,3,0,1,1
417,1162,69,6,3,3,3,6
418,1378,28,3,4,3,2,5
419,1869,8,1,3,4,5,9
420,1694,48,4,5,4,6,10
421,1490,37,4,5,10,12,22
422,1866,80,7,3,4,3,7
423,86,27,3,1,3,3,6
424,1485,3,1,1,0,0,0
425,1190,64,6,2,6,2,8
426,1154,87,8,2,0,1,1
427,649,48,4,2,7,4,11
428,1562,21,2,4,2,2,4
429,1620,96,8,3,7,1,8
430,483,52,5,3,1,6,7
431,725,45,4,4,0,2,2
432,1523,65,6,3,4,3,7
433,1003,62,6,3,1,1,2
434,1821,30,3,5,4,4,8
435,204,77,7,1,3,4,7
436,1392,10,1,4,6,4,10
437,1306,31,3,4,1,3,4
438,834,89,8,3,3,2,5
439,1713,83,7,5,7,2,9
440,1274,16,2,5,10,6,16
441,1126,48,4,2,11,6,17
442,960,72,6,3,1,3,4
443,1769,81,7,4,0,2,2
444,398,96,8,5,0,1,1
445,1654,7,1,5,4,4,8
446,1423,6,1,5,5,6,11
447,587,82,7,4,17,1,18
448,1756,33,3,3,0,1,1
449,1008,31,3,2,0,0,0
450,936,73,7,3,0,0,0
451,1629,39,4,2,2,0,2
452,573,93,8,3,9,2,11
453,400,44,4,3,2,3,5
454,1102,10,1,2,3,3,6
455,1153,79,7,2,1,0,1
456,231,62,6,4,0,0,0
457,1119,4,1,2,0,0,0
458,332,8,1,3,5,1,6
459,1252,61,6,2,0,0,0
460,1272,85,8,1,2,7,9
461,1594,36,3,3,0,0,0
462,504,63,6,4,9,2,11
463,1532,37,4,1,3,6,9
464,692,39,4,4,9,2,11
465,125,54,5,2,4,5,9
466,1871,78,7,1,0,2,2
467,1753,41,4,2,10,6,16
468,566,36,3,3,6,6,12
469,346,5,1,5,5,2,7
470,1373,22,2,3,0,0,0
471,716,46,4,3,7,8,15
472,498,3,1,4,0,0,0
473,55,19,2,5,17,3,20
474,751,90,8,1,0,0,0
475,1790,90,8,1,0,0,0
476,466,13,2,3,0,3,3
477,301,6,1,2,4,1,5
478,638,8,1,5,7,3,10
479,292,19,2,4,1,6,7
480,1674,76,7,4,1,3,4
481,1347,55,5,4,5,2,7
482,368,76,7,4,6,3,9
483,1522,46,4,1,8,7,15
484,958,34,3,3,0,0,0
485,416,2,1,4,2,3,5
486,81,96,8,3,3,6,9
487,1682,64,6,3,1,3,4
488,645,94,8,2,16,4,20
489,1605,70,6,2,6,3,9
490,1163,8,1,2,5,3,8
491,1204,50,5,5,5,2,7
492,1200,13,2,3,5,8,13
493,480,17,2,4,2,0,2
494,857,88,8,3,3,5,8
495,1253,26,3,2,0,4,4
496,1717,59,5,2,16,5,21
497,910,12,1,2,8,6,14
498,1197,35,3,4,0,0,0
499,391,82,7,5,1,2,3
500,1382,54,5,2,0,2,2
501,377,85,8,3,10,4,14
502,1976,89,8,3,0,0,0
503,1870,28,3,4,7,10,17
504,115,15,2,2,3,1,4
505,1528,19,2,2,1,1,2
506,1456,40,4,4,17,7,24
507,1214,90,8,3,10,5,15
508,1154,87,8,3,3,5,8
509,334,22,2,5,0,0,0
510,466,13,2,1,1,1,2
511,613,50,5,2,5,9,14
512,380,18,2,3,5,5,10
513,1059,59,5,3,1,0,1
514,1373,11,1,5,0,0,0
515,1413,34,3,4,11,3,14
516,558,83,7,4,0,0,0
517,1140,62,6,2,0,0,0
518,210,9,1,2,7,6,13
519,1581,16,2,5,2,4,6
520,1640,8,1,3,10,7,17
521,1331,83,7,2,2,4,6
522,100,64,6,2,1,5,6
523,1046,56,5,3,1,1,2
524,1250,90,8,3,6,5,11
525,1847,40,4,2,1,0,1
526,1325,19,2,4,0,0,0
527,760,95,8,4,0,1,1
528,1727,34,3,3,1,1,2
529,1403,63,6,1,2,2,4
530,1236,77,7,4,5,2,7
531,1688,8,1,2,1,3,4
532,1034,11,1,3,13,3,16
533,1949,78,7,4,6,3,9
534,822,55,5,5,4,1,5
535,537,94,8,5,0,0,0
536,817,69,6,1,10,4,14
537,1502,1,1,4,9,3,12
538,1421,25,3,3,0,2,2
539,1080,54,5,4,2,2,4
540,1482,6,1,2,4,3,7
541,1273,9,1,4,2,1,3
542,711,9,1,2,4,3,7
543,835,65,6,3,4,3,7
544,1598,24,2,2,11,5,16
545,748,60,5,4,3,3,6
546,1492,37,4,4,4,5,9
547,1627,83,7,3,3,3,6
548,535,37,4,4,0,0,0
549,784,75,7,4,7,6,13
550,852,35,3,2,2,1,3
551,303,3,1,4,0,0,0
552,1178,29,3,3,9,2,11
553,593,8,1,4,5,3,8
554,1792,25,3,4,14,3,17
555,6,68,6,5,0,0,0
556,1274,26,3,4,9,6,15
557,1232,52,5,3,0,0,0
558,320,21,2,3,8,3,11
559,428,22,2,2,5,9,14
560,216,50,5,2,9,3,12
561,1302,11,1,3,2,1,3
562,1127,23,2,4,2,1,3
563,1144,63,6,1,3,2,5
564,927,13,2,5,11,3,14
565,652,32,3,5,10,3,13
566,109,59,5,2,4,5,9
567,731,73,7,5,7,5,12
568,129,83,7,3,0,0,0
569,1381,15,2,5,3,8,11
570,1639,92,8,1,3,7,10
571,913,62,6,3,0,0,0
572,1238,5,1,3,4,5,9
573,789,21,2,3,3,6,9
574,373,53,5,1,0,0,0
575,1026,20,2,5,4,11,15
576,1951,33,3,1,10,7,17
577,988,94,8,5,2,6,8
578,844,74,7,3,0,0,0
579,785,39,4,3,4,6,10
580,1589,52,5,4,0,1,1
581,692,39,4,3,3,0,3
582,282,87,8,3,9,5,14
583,1715,96,8,4,9,2,11
584,1549,19,2,4,11,1,12
585,1321,74,7,2,4,2,6
586,585,49,5,4,1,0,1
587,1139,35,3,4,4,3,7
588,1222,55,5,4,7,4,11
589,1957,81,7,2,5,0,5
590,1496,44,4,5,0,0,0
591,1735,64,6,4,7,4,11
592,429,41,4,3,1,4,5
593,1502,1,1,3,10,4,14
594,1342,24,2,3,7,3,10
595,1968,36,3,4,0,1,1
596,475,26,3,3,0,2,2
597,644,66,6,5,0,0,0
598,1723,44,4,3,3,4,7
599,1720,2,1,3,7,3,10
600,1720,2,1,2,3,1,4
601,249,34,3,5,1,4,5
602,1898,23,2,2,16,4,20
603,1556,41,4,3,0,3,3
604,701,95,8,3,6,4,10
605,687,87,8,3,4,16,20
606,1613,69,6,3,9,4,13
607,673,21,2,4,4,10,14
608,1209,85,8,2,11,4,15
609,1919,71,6,4,1,0,1
610,655,31,3,2,0,0,0
611,452,81,7,4,6,6,12
612,1501,52,5,4,1,4,5
613,242,93,8,3,0,0,0
614,1498,15,2,2,0,0,0
615,695,15,2,2,10,3,13
616,1358,31,3,2,1,2,3
617,1493,84,7,4,0,0,0
618,758,10,1,2,2,2,4
619,1762,79,7,4,3,4,7
620,612,52,5,3,5,6,11
621,1195,92,8,4,1,8,9
622,1161,58,5,5,4,12,16
623,1465,95,8,5,1,3,4
624,1811,57,5,1,1,3,4
625,1052,77,7,1,4,5,9
626,979,69,6,5,8,4,12
627,372,93,8,5,12,4,16
628,974,13,2,5,0,0,0
629,1985,37,4,1,0,4,4
630,419,86,8,1,1,2,3
631,1057,27,3,3,15,1,16
632,637,39,4,1,4,4,8
633,668,38,4,4,0,1,1
634,1042,15,2,3,5,5,10
635,1474,57,5,1,1,2,3
636,56,14,2,5,8,7,15
637,48,3,1,5,1,1,2
638,1045,56,5,3,4,6,10
639,11,77,7,2,0,1,1
640,654,8,1,5,0,0,0
641,145,96,8,4,2,2,4
642,1404,81,7,4,0,0,0
643,1841,17,2,2,9,7,16
644,677,73,7,5,4,1,5
645,1985,37,4,2,2,0,2
646,1889,52,5,1,4,1,5
647,195,78,7,4,3,0,3
648,717,39,4,4,5,3,8
649,986,83,7,2,0,0,0
650,1581,16,2,2,4,2,6
651,387,19,2,5,7,2,9
652,768,59,5,4,11,7,18
653,556,96,8,2,12,2,14
654,1011,88,8,2,2,5,7
655,204,77,7,2,1,3,4
656,1793,83,7,1,10,3,13
657,853,33,3,3,0,0,0
658,641,36,3,1,3,5,8
659,1778,68,6,3,4,1,5
660,1993,80,7,2,4,2,6
661,694,41,4,2,6,4,10
662,1765,96,8,1,1,2,3
663,1362,90,8,2,3,2,5
664,495,48,4,3,0,1,1
665,236,25,3,2,0,1,1
666,1549,92,8,3,10,4,14
667,217,47,4,2,8,2,10
668,1961,6,1,3,3,5,8
669,1946,8,1,3,0,5,5
670,1250,90,8,5,7,3,10
671,1292,11,1,5,7,3,10
672,736,41,4,1,1,4,5
673,1680,76,7,4,1,3,4
674,1567,61,6,2,13,5,18
675,1025,30,3,5,0,2,2
676,1496,44,4,4,1,1,2
677,162,88,8,4,0,1,1
678,834,89,8,2,5,3,8
679,761,52,5,4,3,2,5
680,1895,40,4,2,1,0,1
681,495,22,2,1,0,1,1
682,1925,71,6,5,0,2,2
683,1089,45,4,3,3,4,7
684,1884,16,2,5,2,2,4
685,1035,62,6,4,0,0,0
686,940,52,5,2,5,1,6
687,1798,55,5,4,1,2,3
688,1165,45,4,5,7,10,17
689,17,91,8,2,1,0,1
690,1960,87,8,3,2,7,9
691,1742,4,1,2,1,5,6
692,1833,43,4,3,3,2,5
693,1367,87,8,2,19,3,22
694,847,35,3,1,5,6,11
695,1040,82,7,5,6,3,9
696,1717,59,5,3,14,5,19
697,1829,89,8,2,12,4,16
698,970,41,4,3,3,2,5
699,1740,37,4,2,8,4,12
700,716,46,4,4,9,9,18
701,1453,66,6,4,0,1,1
702,1688,8,1,1,0,0,0
703,1959,69,6,4,0,0,0
704,1053,80,7,1,3,6,9
705,736,41,4,2,2,2,4
706,664,23,2,2,1,3,4
707,557,54,5,2,10,5,15
708,270,95,8,3,0,1,1
709,1734,22,2,2,0,0,0
710,19,58,5,4,0,4,4
711,338,10,1,5,17,5,22
712,509,44,4,4,4,4,8
713,1305,70,6,4,2,0,2
714,1382,54,5,4,0,1,1
715,346,63,6,2,11,4,15
716,1991,13,2,2,3,6,9
717,695,15,2,4,5,4,9
718,1988,21,2,2,1,5,6
719,1671,3,1,1,10,5,15
720,228,85,8,5,4,4,8
721,1083,14,2,4,7,0,7
722,345,32,3,3,1,0,1
723,1273,9,1,3,1,2,3
724,1573,84,7,2,9,5,14
725,1775,23,2,2,0,1,1
726,184,40,4,2,11,3,14
727,928,28,3,5,8,3,11
728,531,12,1,3,0,2,2
729,231,52,5,3,0,0,0
730,1009,4,1,5,0,2,2
731,919,72,6,2,7,3,10
732,1149,47,4,1,9,4,13
733,263,30,3,2,0,0,0
734,929,67,6,3,1,1,2
735,1653,26,3,4,4,2,6
736,471,60,5,2,5,5,10
737,160,34,3,3,0,0,0
738,997,77,7,1,12,5,17
739,147,58,5,1,0,2,2
740,1521,31,3,4,1,1,2
741,857,47,4,1,1,1,2
742,1789,80,7,1,1,1,2
743,1646,85,8,5,14,9,23
744,1789,80,7,4,1,0,1
745,536,38,4,2,2,5,7
746,843,63,6,5,4,6,10
747,140,31,3,1,0,1,1
748,1725,88,8,3,2,3,5
749,883,50,5,3,7,5,12
750,1269,13,2,5,0,0,0
751,112,20,2,1,5,5,10
752,126,22,2,5,5,4,9
753,672,19,2,4,1,1,2
754,894,10,1,3,8,6,14
755,1959,69,6,5,2,1,3
756,1644,12,1,2,2,10,12
757,274,42,4,1,0,0,0
758,26,50,5,3,7,11,18
759,768,68,6,2,10,3,13
760,1700,96,8,4,1,1,2
761,1616,73,7,3,0,1,1
762,969,45,4,4,2,2,4
763,802,33,3,3,4,11,15
764,922,29,3,3,2,2,4
765,1116,75,7,4,7,6,13
766,721,2,1,1,6,0,6
767,1135,83,7,5,0,0,0
768,372,93,8,4,12,5,17
769,1068,70,6,2,0,1,1
770,1821,30,3,2,1,1,2
771,232,41,4,3,2,1,3
772,1280,17,2,2,4,2,6
773,1912,7,1,4,13,2,15
774,1883,6,1,1,10,5,15
775,612,36,3,4,3,0,3
776,1770,11,1,2,0,0,0
777,874,65,6,5,6,5,11
778,360,57,5,3,3,4,7
779,581,94,8,4,6,10,16
780,737,54,5,2,12,5,17
781,1541,23,2,5,1,6,7
782,566,24,2,1,4,2,6
783,1414,35,3,2,11,1,12
784,1047,54,5,3,0,0,0
785,412,49,5,2,0,3,3
786,1354,69,6,4,5,2,7
787,395,9,1,3,1,0,1
788,287,43,4,3,10,4,14
789,566,24,2,2,5,4,9
790,185,2,1,3,8,2,10
791,1314,31,3,2,0,3,3
792,175,74,7,4,1,6,7
793,1644,12,1,3,5,4,9
794,1159,80,7,3,5,7,12
795,1637,66,6,2,10,10,20
796,890,30,3,3,1,4,5
797,1791,29,3,4,1,0,1
798,459,66,6,3,7,2,9
799,1626,11,1,3,2,2,4
800,1988,21,2,1,2,5,7
801,12,87,8,2,0,0,0
802,198,22,2,5,1,2,3
803,927,50,5,2,11,6,17
804,1202,69,6,5,2,1,3
805,239,96,8,2,3,2,5
806,1740,37,4,3,8,5,13
807,89,34,3,1,3,10,13
808,1721,53,5,5,6,1,7
809,965,84,7,2,3,3,6
810,935,33,3,1,1,3,4
811,1508,55,5,4,20,6,26
812,1553,24,2,2,0,2,2
813,783,75,7,4,3,6,9
814,729,84,7,3,2,5,7
815,56,14,2,1,3,2,5
816,945,53,5,4,0,2,2
817,1023,85,8,2,0,1,1
818,461,96,8,5,1,4,5
819,1000,63,6,3,1,1,2
820,882,27,3,2,7,5,12
821,888,26,3,5,4,7,11
822,1087,24,2,2,3,7,10
823,1559,59,5,2,1,1,2
824,975,85,8,4,3,1,4
825,1154,87,8,5,1,0,1
826,148,44,4,5,4,8,12
827,804,66,6,2,4,3,7
828,525,60,5,3,4,2,6
829,777,46,4,4,3,10,13
830,1348,24,2,4,4,2,6
831,329,8,1,3,2,7,9
832,1249,34,3,2,7,5,12
833,600,16,2,4,8,3,11
834,1501,52,5,5,2,7,9
835,1316,89,8,3,5,3,8
836,768,21,2,5,11,2,13
837,647,9,1,3,0,0,0
838,1588,11,1,2,0,0,0
839,1487,58,5,2,7,4,11
840,800,71,6,1,1,1,2
841,484,21,2,2,0,1,1
