PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,PositionID,MarketValueEUR,WageEUR,Matches,MinutesPlayed,Goals,Assists,xG,xA,PassAccuracy,KeyPasses,TacklesWon,Interceptions,DefensiveDuelsWon,Shots,ShotsOnTarget,DribblesCompleted,ProgressivePasses,ProgressiveCarries,GoalContribution,GoalValueRatio,PerformanceScore
21,326,79,7,5,2,18319000,5780,23,1620,7,5,8.2,5.3,75.1,1.03,0.19,0.14,49.6,4.14,31.5,2.09,1.61,2.27,12,0.0000003821,62.52
22,1597,20,2,2,4,24069000,7670,21,1449,0,3,0.98,5.23,78.2,2.12,1.83,1.68,44,1.66,31.3,1.96,5.59,4.2,3,0,34.35
23,877,86,8,1,8,7277000,2530,22,1888,1,1,1.2,1.17,86,0.29,2.77,0.73,92,0.64,49,0,3.15,1.61,2,0.0000001374,28.37
24,984,34,3,2,1,28304000,12100,11,814,5,4,6.76,3.87,73.6,1.57,0.46,0.34,42.6,4.8,41.5,3.75,2.88,3.64,9,0.0000001767,50.25
25,355,93,8,1,9,8970000,1800,26,1839,0,0,0.07,0.01,83.4,1.62,2.9,1.34,83.7,1.02,43.4,0.4,6.59,1.28,0,0,24.26
26,1650,40,4,5,7,38962000,11240,24,1605,0,1,0.92,1.44,81,1.63,3.15,2.91,64.2,0.43,39.1,0.37,4.05,2.56,1,0,28.35
27,706,58,5,2,1,118013000,34840,23,1431,11,5,11.82,6.85,77.2,1.78,0.13,0.61,40.3,6.04,44.1,2.7,2.57,4.16,16,0.0000000932,80.76
28,579,55,5,2,9,34549000,13500,36,3122,0,2,1.01,2.32,74.6,0.65,0.68,0.99,58.7,0.69,30.8,0.78,5.61,1.08,2,0,30.22
29,231,52,5,2,9,13961000,4630,34,2352,2,4,2,3.69,83.6,1.2,3.61,1.14,48.3,0.02,32.8,0,4.62,0.43,6,0.0000001433,47.49
30,842,13,2,3,1,48969000,20310,25,1618,7,1,7.68,1.23,72.7,0.52,0.78,0.82,39.1,2.79,42.1,1.46,2.29,4.23,8,0.0000001429,48.16
31,1112,33,3,2,3,75425000,11320,31,1939,9,5,8.81,4.33,72.6,0.07,0.39,0.51,36.7,2.33,32.4,1.4,2.38,2.57,14,0.0000001193,70.85
32,1759,64,6,2,10,8234000,2490,38,2812,0,0,0,0.04,72.9,0.15,0.26,0.5,38,0,0,0,0.87,0,0,0,15.73
33,1377,86,8,2,8,3991000,1430,10,795,0,0,0.24,0.9,84.4,0.33,3.62,2,63.1,0.73,36.2,1.02,7.34,3.36,0,0,21.35
34,1436,50,5,3,9,17052000,4960,30,1757,1,1,0.59,0.78,75.2,0.4,3.25,1.5,57.7,0.46,52.4,1.3,5.46,1.06,2,0.0000000586,28.91
35,1960,87,8,4,5,8741000,1620,12,923,1,1,1.31,2.93,85.2,1.18,1.01,0.66,53.7,1.04,21.1,0.25,6.33,3.1,2,0.0000001144,25.44
36,1089,45,4,5,4,18083000,6730,21,1161,6,3,5.53,5.21,83.4,2.96,2.13,1.6,46.4,2.78,20.9,2.34,5.6,6.05,9,0.0000003318,60.17
37,1587,58,5,2,1,30804000,12000,30,2263,4,6,5.34,6.3,69.6,1.45,0.07,1.28,67.1,3.44,46.7,2.05,3.28,3.07,10,0.0000001299,60.01
38,1727,34,3,1,9,14778000,3600,29,1448,0,0,0.2,1.1,89.2,0.55,3.72,3.68,72.4,1.12,39,0.49,3.98,3.54,0,0,24.92
39,95,66,6,5,9,10334000,2830,15,1350,0,0,0.7,0.11,76.8,0.03,2.59,1.53,60.7,0.34,43.9,1.63,3.15,0.54,0,0,16.99
40,1490,37,4,4,6,48680000,13970,19,1710,2,2,3.65,2.68,80.3,1.93,1.55,0.81,47.1,2.44,35.8,2.52,6.35,4.34,4,0.0000000411,38.2
41,1710,47,4,2,3,20495000,3950,17,1104,5,0,4.63,0,75.1,0.77,1.17,0.59,65.2,3.71,48.2,1.96,3.34,2.12,5,0.000000244,35.39
42,1691,24,2,3,7,17222000,6360,30,2700,1,1,0.33,0.8,89.8,0.24,1.43,3.23,77.5,0.99,47.3,1.46,3.48,1.63,2,0.0000000581,32.32
43,393,87,8,1,9,25945000,6870,34,2781,1,0,1.81,0.3,73.3,1.37,3.46,2.16,79.5,0.33,35.7,0.46,3.55,3.08,1,0.0000000385,31.43
44,812,64,6,1,6,34210000,6780,22,1764,0,5,0,6.35,84,1.63,1.31,2.22,42.8,1.01,46.3,1.77,5.24,2.5,5,0,41.92
45,1239,72,6,5,4,15821000,4380,24,1909,7,6,7.02,6.08,77.3,1,1.99,1.33,61,1.6,43.2,2.16,3.74,6.01,13,0.0000004424,74.42
46,1588,11,1,4,10,33399000,6170,36,2959,0,0,0,0.3,79.3,0.29,0.07,0.49,38.5,0,0,0,0.97,0.07,0,0,16.61
47,1286,3,1,4,1,19837000,7150,10,771,3,1,6.15,1.83,81.4,1.71,1.14,0.45,52.1,4.52,41.5,1.59,2.53,2.51,4,0.0000001512,31.2
48,685,54,5,2,1,19849000,4390,25,1892,6,2,7.52,3.45,75.4,0.85,0.86,0.54,46.5,1.65,21.9,0.05,1.6,3.96,8,0.0000003023,49.21
49,1844,75,7,2,5,56212000,10010,23,1529,1,3,2.51,3.25,88.3,3.07,0.74,1.44,45.1,1.7,43.3,2.14,5.44,2.64,4,0.0000000178,38.13
50,1415,86,8,5,8,7074000,1490,27,2206,2,1,2.16,1.65,90.2,1.08,1.37,1.1,56.4,0.02,27.4,0.01,6.55,1.78,3,0.0000002827,34.3
51,1260,58,5,3,1,17941000,5540,27,2326,4,3,4.88,3.05,79.3,1.49,1.01,0,48,3.95,38,2.51,1.78,2.33,7,0.000000223,46.66
52,1143,18,2,2,8,63977000,22800,27,1630,2,1,1.67,0.69,75.8,0.76,2.15,2.37,56.4,0.12,54.9,0.9,4.57,2.11,3,0.0000000313,32.82
53,73,18,2,3,7,20855000,6830,21,1466,1,0,0.98,0.45,72.9,0.76,1.99,1.99,59.5,0.31,23.2,0,0,1.11,1,0.000000048,20.79
54,1866,80,7,5,6,14625000,5220,18,1347,2,0,2.43,1.37,81.8,3.05,1.9,1.68,42.1,0.55,38.3,2.43,4.85,4.79,2,0.0000001368,31.53
55,343,6,1,2,6,146781000,39090,38,2913,5,8,6.13,10.64,85.7,2.65,1.41,2.49,39.8,1.39,35.2,0,5.43,2.36,13,0.0000000341,79.74
56,1169,93,8,4,6,15430000,4350,37,2273,3,3,2.44,4.49,83.4,3,1.1,1.75,76.6,2.74,32.1,1.5,5.82,2.31,6,0.0000001944,50.03
57,881,10,1,4,8,28831000,7670,16,1161,1,1,0.83,0.73,75.4,0.83,2.95,2.81,52.5,0.09,41.7,1.11,3.9,3.47,2,0.0000000347,29.06
58,1339,40,4,2,9,25782000,4030,34,2695,1,0,1.4,0,75.8,0.43,1.94,3.69,53.2,2,43.7,0,3.42,2.44,1,0.0000000388,28.7
59,1647,4,1,4,9,63492000,16010,31,2790,1,2,1.13,1.09,94.8,0.58,1.83,0.94,57.7,0.52,29.3,0.54,8.39,2.32,3,0.0000000158,37.32
60,91,39,4,2,2,29411000,12670,32,2060,6,2,7.62,3.5,70.4,1.31,0.34,0.16,28.8,4.67,43.6,3.68,1.85,3.62,8,0.000000204,48.55
61,1231,14,2,4,7,12493000,3180,19,1547,2,1,1.82,1.42,83.6,0.43,2.36,2.33,48,0.73,36.4,0.87,7.28,2.31,3,0.0000001601,33.84
62,190,14,2,1,2,61459000,12840,25,1955,5,0,4.8,0,77.7,0.61,0,0.69,48.2,0.63,14.9,2.14,4.35,2.88,5,0.0000000814,37.21
63,823,66,6,2,1,34271000,9080,38,2764,10,7,10.5,7.47,78.9,1.86,0.22,0.67,56.5,2.73,38.3,0.79,1.24,2.31,17,0.0000002918,88.49
64,468,44,4,4,3,51877000,9800,19,1136,4,4,3.43,3.11,83.1,0.63,1.09,0.2,45.8,3.35,50.1,0.99,2.49,0.88,8,0.0000000771,45.49
65,1162,69,6,4,2,56274000,8730,34,2827,12,5,11.67,6.29,83.1,1.53,1.43,0.34,29.6,4.17,34.9,2.35,2.79,2.23,17,0.0000002132,89.4
66,1624,76,7,1,3,21374000,4750,35,2311,8,7,7.35,7.77,71.9,1.55,0.4,0.6,43.8,4.87,63.9,3.1,3.89,3.3,15,0.0000003743,79.73
67,521,48,4,4,6,40005000,6090,27,2040,5,5,5.45,5.64,79.4,3.06,1.08,1.2,35.5,1.01,33.3,1.98,6.53,3.49,10,0.000000125,64.17
68,51,41,4,3,8,24577000,3730,38,2868,0,1,0.23,1.02,80.2,0.55,1.19,1.46,53,0.48,38.4,0.89,4.38,2.54,1,0,26.62
69,1723,44,4,2,5,26975000,4780,29,1849,5,5,5.21,5.4,90.1,1.95,2.12,0.88,53.1,2.02,35.8,0.17,6.41,0.91,10,0.0000001854,62.45
70,946,67,6,2,4,28957000,7630,29,2584,3,5,3.11,4.98,84.1,1.03,1.39,1.43,45,2.02,47.5,1.83,5.83,4.22,8,0.0000001036,56.12
71,1174,63,6,5,7,6632000,2580,24,1694,1,1,1.17,1.12,74.7,1.05,3.14,1.56,59.5,1.31,34,0.96,6.98,2.16,2,0.0000001508,30.95
72,1163,66,6,4,2,19042000,5090,21,1537,7,1,8.76,5.79,78.9,1.74,0.79,0.47,32.9,4.37,44.2,2.27,3.41,2.8,8,0.0000003676,49.28
73,447,41,4,5,9,23846000,5600,33,2553,1,2,1.34,1.97,84.2,0.75,1.99,3.02,57.8,0.44,52.9,0.16,4.31,1.96,3,0.0000000419,36.73
74,97,43,4,4,10,8694000,1820,13,1170,0,0,0,0,72,0.01,0.18,0,37.1,0,0,0,3.92,0.11,0,0,10.86
75,1015,14,2,2,7,13832000,5040,30,2234,2,0,1.88,0,82.8,0.95,2.42,1.63,67.5,0.98,54.2,0.19,5.27,3.37,2,0.0000001446,32.22
76,288,2,1,2,8,79886000,33370,22,1980,1,2,1.56,2.49,86.9,0.65,2.95,3.88,62.9,0.71,39.9,0.39,2.37,3.59,3,0.0000000125,36.98
77,1019,75,7,3,1,26809000,7390,20,1668,4,2,1.54,2.69,72,1.39,0.78,0.54,31.7,3.31,45.5,4.3,2.61,5.29,6,0.0000001492,41.73
78,1478,6,1,2,8,46818000,8020,25,2224,2,0,2.29,0.17,72.8,0.97,3.53,0.95,55.2,0.12,27.3,0.94,4.37,1.77,2,0.0000000427,30.61
79,1989,6,1,2,7,20980000,8170,19,1710,2,0,1.27,0,77.1,0.55,1.21,2.05,59.8,0.77,30.5,0,6.52,1.39,2,0.0000000953,28.04
80,1920,41,4,3,3,29794000,7190,14,1036,6,2,7.49,3.2,75.1,1.58,0.59,0.24,28.7,3.11,35.4,0.42,1.19,2.94,8,0.0000002014,45.5
81,105,60,5,3,4,35437000,10800,30,2083,7,6,7.93,7.18,73.2,1.42,1.54,1.23,45.9,0.1,53.3,1.54,7.45,3.8,13,0.0000001975,75.06
82,495,84,7,2,10,30678000,10480,38,2681,0,3,0,2.7,78.2,0.13,0.11,0.1,38.9,0,0,0,4.15,0,3,0,28.54
83,601,34,3,3,10,22034000,6780,20,1513,0,0,0,0,80.8,0.35,0.21,0,17.5,0,0,0,3.31,0,0,0,12.04
84,1028,56,5,3,7,13086000,2830,17,1368,2,2,2.19,2.07,79.8,0.25,2.72,2.69,62.1,0.64,36.8,0.75,5.22,1.65,4,0.0000001528,36.71
85,940,52,5,1,1,18353000,6960,38,2643,13,2,13.18,2.08,73.4,3.47,0.39,0.6,58.2,3.25,36.5,1.59,4.05,4.67,15,0.0000007083,84.98
86,1852,26,3,5,6,30291000,12650,26,2259,2,5,1.06,6.59,85.5,2.31,2.14,2.18,42.7,2.1,40.5,2.23,4.55,4.2,7,0.000000066,54.11
87,138,29,3,2,9,42049000,14740,21,1542,0,1,0,1.35,75.8,0.14,2.36,1.58,48.4,0.48,40.6,0.39,6.79,0.25,1,0,22.84
88,1313,30,3,5,9,11853000,4620,17,1238,0,0,0.12,0,80.2,0.61,2.5,0.79,59.5,0.83,43.5,1.23,0.79,0.15,0,0,15.25
89,333,1,1,2,10,43741000,7440,32,2372,0,0,0,0,74,0.42,0.01,0,41.9,0,0,0,3.69,0,0,0,15.35
90,1497,6,1,5,7,92951000,29210,34,2736,1,0,2,0.2,79,0.83,1.8,2.58,66.1,0.66,39.9,1.36,3.73,2.29,1,0.0000000108,28.56
91,1395,55,5,2,8,18805000,7650,36,2552,4,1,3.93,1.2,75.8,0.31,1.37,0.7,54.1,0.26,51.7,0.95,7.58,1.49,5,0.0000002127,41.4
92,1176,82,7,5,4,25881000,8480,23,1788,4,7,5.51,8.9,85.4,0.67,3.18,1.25,52.8,2.82,15.6,0.28,2.75,5.12,11,0.0000001546,66.07
93,1279,60,5,4,10,19886000,5450,20,1800,0,0,0,0.08,70.7,0.45,0,0.35,36.2,0,0,0,4.38,0.22,0,0,14.02
94,979,23,2,4,1,66055000,12050,14,1260,2,0,2.91,0,66.1,1.47,0.02,0.23,30.2,3.65,39.2,3.52,2.77,0.44,2,0.0000000303,20.52
95,1541,23,2,1,6,41468000,10580,32,2279,3,8,4.52,10.6,87.7,2.91,2.69,2.85,21,2.65,43.5,2.32,2.13,4.4,11,0.0000000723,70.89
96,1521,31,3,2,7,46236000,16600,25,2016,1,1,0.88,1.52,73.7,0.79,2.73,3.29,77.1,0.57,38.3,0,6.17,1.1,2,0.0000000216,32.76
97,1543,22,2,5,1,102452000,41210,38,3420,8,6,8.13,6.62,65,1.96,0.92,0.08,48.6,3.94,35.2,1.87,3.4,4.4,14,0.0000000781,80.15
98,129,83,7,2,10,11204000,2210,33,2862,0,1,0,1.04,84.8,0.2,0,0.21,50.4,0,0,0,3.61,0.48,1,0,21.89
99,1645,19,2,4,5,47244000,12240,38,2625,3,7,3.16,9.82,74.6,3.38,1.76,1.57,49.7,1.23,41.4,0.39,9.96,1.4,10,0.0000000635,68.72
100,1523,65,6,5,5,55844000,16450,31,2421,4,5,4.07,4.46,82.3,0.81,1.05,1.1,53.3,2.3,37.9,0,8.1,4.63,9,0.0000000716,59.94
101,876,67,6,1,3,35024000,8520,32,2300,13,2,14.71,2.54,77.8,1.89,0.43,0.79,37.7,2.74,31.9,4.24,2.44,2.44,15,0.0000003712,79.43
102,1178,56,5,5,5,21164000,3190,26,2340,5,3,4.9,3.16,84.1,2.93,1.45,1.2,49.2,0.92,50.6,1.69,4.1,2.01,8,0.0000002363,56.11
103,1094,96,8,3,7,15890000,7030,35,2234,1,0,1.11,0.48,84.8,1.2,2.62,1.37,43.1,1.24,44.6,0.54,4.24,1.79,1,0.0000000629,26.58
104,1660,53,5,5,9,19645000,4790,33,2335,1,0,1.19,0,75.9,0,0.53,2.55,78.9,0.39,21.3,0.89,3.54,2.47,1,0.0000000509,24.65
105,1206,5,1,2,3,51309000,8670,25,2111,9,0,11.16,0.03,75.7,1.42,0.25,0.48,31.7,3.61,25.3,2.97,0.81,2.36,9,0.0000001754,52.36
106,596,2,1,4,5,106914000,47590,35,2206,7,8,8.13,7.07,89.8,1.3,1.62,1.69,50,1.72,45,0.17,1.29,5.48,15,0.0000000655,82.65
107,1276,66,6,4,7,8517000,1550,19,1512,2,0,1.95,0,82.1,0.41,2.94,2.39,72.1,0.63,35.2,0.17,6,1.66,2,0.0000002348,30.15
108,1735,64,6,3,1,23236000,3960,13,1047,7,1,7.69,2.74,76.2,1.17,0.47,0,55.3,3.99,51.9,1.8,3.82,2.11,8,0.0000003013,46.24
109,1451,79,7,1,4,16380000,5200,21,1314,3,2,3.34,3.12,74.7,2.3,1.39,1.93,35,1.37,31.3,3.78,7.98,2.34,5,0.0000001832,41.76
110,9,31,3,3,5,29554000,12770,22,1661,6,6,7.27,5.37,85,1.29,1.63,1.58,40.7,1.39,42.3,1.59,5.25,3.5,12,0.000000203,69.17
111,65,61,6,2,8,7319000,3040,35,3150,1,2,1.59,1.78,78.4,0.76,2.91,2.95,82.8,0.32,30.9,0.78,1.71,2.04,3,0.0000001366,38.95
112,1769,49,5,2,9,34286000,6420,30,2548,2,2,1.77,1.35,84.3,1,1.97,2.5,69.8,0.87,24.2,0.67,6.34,3.75,4,0.0000000583,42.71
113,4,89,8,2,10,7052000,1150,19,1710,0,0,0,0,68.1,0.32,0.03,0.45,57.9,0,0,0,1.74,0.11,0,0,12.82
114,253,46,4,2,6,162681000,33970,20,1618,3,5,4.58,4.04,81.7,2.37,3.46,0.91,48.4,1.01,33.4,1.08,5.68,3.51,8,0.0000000184,56.32
115,139,44,4,4,5,34659000,8650,22,1980,1,4,1.51,5.48,84.5,2.78,1.59,1.91,61.1,1.09,46,0.61,5.57,6.32,5,0.0000000289,46.97
116,715,41,4,3,8,36550000,7090,28,2520,3,3,3.47,2.92,79.4,0.46,1.44,3.05,66.5,1.04,35,0.44,3.96,0,6,0.0000000821,46.42
117,1896,75,7,4,4,60177000,26190,38,3420,9,8,9.64,7.55,90.4,1.28,1.8,1.5,53.9,1.53,29.5,0.2,2.13,2.73,17,0.0000001496,93.85
118,1510,23,2,3,9,49996000,11840,22,1484,3,1,3,1.17,73.8,0.25,3.19,1.88,70.1,0.7,36.8,0.1,5.57,3.22,4,0.00000006,37.59
119,851,1,1,3,3,57407000,24460,27,1574,9,6,12.28,5.76,77.3,0.64,0,0.54,36.8,4.13,50.8,2.47,0.71,1.89,15,0.0000001568,73.12
120,498,3,1,3,10,19239000,6690,9,751,0,0,0,0,78.8,0.37,0,0.16,48.3,0,0,0,3.13,0.09,0,0,10.25
121,854,20,2,4,2,34272000,7650,25,1848,10,1,12.12,2.58,75.7,1.27,0.95,0.28,45.2,3.2,46.8,3.71,2.99,1.79,11,0.0000002918,61.07
122,1225,44,4,3,10,8771000,1520,14,1131,0,0,0,0.21,72,0.12,0.12,0.19,37.8,0,0,0,6.31,0.07,0,0,12.25
123,757,15,2,2,7,49278000,17670,31,2167,2,1,1.8,1.37,94.3,0.63,1.05,3.62,64.1,0.34,49.4,0.64,5.53,2.18,3,0.0000000406,36.27
124,673,21,2,2,5,30641000,10750,21,1183,0,4,1.62,2.37,87.6,1.71,0.03,0.91,37.3,2.04,45.8,3.47,1.87,2.55,4,0,31.35
125,950,37,4,2,5,44568000,8600,21,1656,2,6,1,7.54,86.8,2.36,1.22,1.28,37.7,1.59,41.2,0.41,4.49,2.18,8,0.0000000449,52.87
126,463,74,7,1,1,22656000,3960,26,1798,10,9,10,8.38,77.4,2.49,0.54,0.47,61.5,2.16,38,1.95,2.91,3.84,19,0.0000004414,96.03
127,50,6,1,2,1,30579000,8240,19,1282,3,2,3.76,3.16,71.1,0.94,0.34,0.16,53,2.75,46.9,1.17,1.01,4.26,5,0.0000000981,34.06
128,328,6,1,4,9,12311000,5240,16,1313,0,3,0.24,2.04,77.9,1.24,2.28,2.02,78,0.31,22.8,0.67,3.44,3.56,3,0,33.13
129,1307,45,4,1,3,60225000,22540,27,1852,8,4,8.67,3.55,75.4,1.92,0.41,0.3,48.9,4.42,45.9,1.78,3.23,3.36,12,0.0000001328,66.44
130,233,91,8,1,1,37026000,13390,23,2070,7,5,9.52,3.97,74.6,2.29,1.02,0.41,78.1,1.62,26,0,0.97,4.08,12,0.0000001891,68.65
131,866,54,5,3,7,13294000,3660,23,1065,1,0,0.81,0.61,92.1,0.96,2.36,1.48,37.2,0.56,39.3,0.66,3.04,2.51,1,0.0000000752,22.09
132,734,92,8,3,6,14694000,5780,21,1593,4,7,3.82,9.8,77.9,0.86,2.42,1.33,50.8,1.83,14.7,1.87,6.39,4.85,11,0.0000002722,66.14
133,545,14,2,4,9,31713000,6880,16,1440,0,0,0.36,0,87.5,0.43,3.17,2.66,42.5,0.75,47.3,0.2,7.22,1.78,0,0,22.59
134,1719,28,3,4,4,36480000,7340,17,1435,5,1,6.8,1.39,71.6,0.61,0.85,0.69,65.6,1.43,22.8,1.68,6.59,3.91,6,0.0000001371,42.34
135,1535,23,2,2,8,16698000,3010,19,1710,0,3,0,2.92,86.2,0.02,2.66,1.85,69.1,1.06,63.2,1.67,4.32,1.21,3,0,32.29
136,1827,66,6,1,7,24856000,9940,38,2940,1,1,1.17,1.63,85.5,0.8,3.68,2.46,51.6,0.94,24.7,1.07,3.54,1.19,2,0.0000000402,34.56
137,111,14,2,1,4,12829000,2090,15,973,1,3,2.63,5.33,92.2,3.36,2.74,1.77,48.9,1.87,46,1.48,7.26,1.64,4,0.0000000779,40.22
138,1659,7,1,3,2,118372000,27500,38,3171,12,9,12.98,9.72,75.2,1.24,0.84,0.7,47.7,3.37,54.2,0.96,4.24,2.4,21,0.0000001014,106.79
139,1131,26,3,2,7,14990000,5230,25,1882,1,2,1.58,2.14,88.4,0.82,2.1,2.85,50.2,0.46,52.4,0.5,4.48,2.25,3,0.0000000667,34.73
140,1582,86,8,3,2,22109000,7580,25,2035,10,4,14.67,4.7,81.5,1.86,0.06,0.83,24.8,2.17,30.4,1.25,2.83,2.84,14,0.0000004523,74.3
141,1570,49,5,3,10,10644000,4790,13,978,0,0,0,0,63.2,0.26,0.17,0.3,30,0,0,0,2.17,0.07,0,0,9.39
142,1979,55,5,3,3,43595000,12670,26,1572,5,3,4.51,3.52,78.8,1.33,0.65,0.58,50.5,2.91,58.8,3.9,2.11,2.06,8,0.0000001147,48.25
143,654,8,1,2,7,61767000,12980,31,2161,0,2,0.59,2.03,86.6,0.13,2.6,3.03,60.5,1.27,8.4,0.38,2.98,0.3,2,0,29.94
144,450,64,6,5,4,10315000,2050,31,1675,3,7,4.04,8.91,81.7,2.61,1.79,1.27,59.1,1.41,30.2,1.9,1.37,3.63,10,0.0000002908,61.53
145,435,46,4,2,8,31191000,5960,26,2340,0,2,0.8,2.87,82.1,0.92,2.86,2.04,62.6,0.81,40,0.99,5.61,4.14,2,0,33.92
146,1506,72,6,3,2,31856000,9270,24,2160,7,6,6.69,5.06,73.4,1.7,0.92,0.59,48.8,4.15,37.6,3.62,3.18,0.25,13,0.0000002197,70.41
147,1270,59,5,2,2,23570000,8480,17,1173,5,3,6.2,2.03,71.5,1.23,1.23,0.21,44.8,3.77,31.1,2.09,3.74,2.47,8,0.0000002121,47.51
148,1445,53,5,5,8,23584000,3750,28,2222,1,1,0.89,1.65,67.3,1.11,2.62,3.14,73.2,0.76,49.3,0.53,4.47,2.43,2,0.0000000424,32.99
149,1958,52,5,3,6,29025000,12820,38,2824,4,5,5.31,5.29,74.8,3.4,2.89,1,60.6,1.41,26.6,2.6,4.34,2.79,9,0.0000001378,64.3
150,1161,63,6,4,4,35696000,6900,33,2897,9,8,8.71,6.91,85,1.08,1.09,1.52,30.8,1.7,40.4,1.02,4.06,3.49,17,0.0000002521,91.36
151,1617,69,6,4,7,12625000,5380,33,2000,0,2,0.29,2.44,90.4,0.5,2.96,2.41,58.4,0.93,46.1,1.14,3.83,2.12,2,0,31.11
152,1290,35,3,3,9,41196000,9540,33,2970,1,2,1.39,1.93,74.8,0.73,3.93,0.51,60,1.28,34.3,0.38,4.89,1.34,3,0.0000000243,36.98
153,2,20,2,1,2,114940000,34740,33,1653,10,6,9.09,6.89,82.3,1.23,0.44,0.43,37.2,3.15,46.2,2.02,3.92,1.01,16,0.000000087,80.1
154,196,14,2,3,2,34322000,15100,15,970,3,2,2.7,3.55,86.7,1.12,0.87,0.16,30.4,4.25,34.6,0.84,2.94,2.58,5,0.0000000874,34.16
155,289,63,6,3,5,28576000,12600,38,3420,6,7,7,8,88,1.54,1.53,0.62,50.6,1.01,43.7,1.08,6.57,2.47,13,0.00000021,78.73
156,1160,29,3,2,5,102569000,39170,31,2155,5,4,5.48,5.63,83.9,1.2,1.29,1.94,48.3,1.88,48.6,2.04,4.08,0,9,0.0000000487,56.54
157,1090,46,4,2,1,124113000,32620,31,2462,5,4,6.91,5.74,72.3,1.08,0.73,0.87,25.4,3.42,43.5,2.89,2.12,4.54,9,0.0000000403,55.45
158,1568,90,8,3,7,4601000,1700,17,1530,0,0,0.17,0.36,80.1,1.3,3.81,1.37,90.2,0.38,48.5,1.73,1.21,1.71,0,0,21.44
