PlayerName,ActualMarketValue,PredictedMarketValue,ValueDifference
Omar Carvalho,32108000,45101721.9411353,12993721.9411353
Pedro Pereira,10734500,23334953.1784992,12600453.1784992
Nuno Smith,11337000,23796069.3124792,12459069.3124792
Nuno de Vries,20756250,33134308.0561079,12378058.0561079
Bruno Schmidt,6736000,18996542.2990947,12260542.2990947
Petar Bernard,44079500,56298670.3599105,12219170.3599105
Bruno Carvalho,32454750,44331664.4807898,11876914.4807898
Andre Sousa,29135200,41009850.1715437,11874650.1715437
Mikkel Traore,16436800,28224309.3900089,11787509.3900089
Jonas Fischer,29585000,41342036.5296544,11757036.5296544
Felix Costa,32484000,44222083.3226871,11738083.3226871
Omar Muller,34323200,46013793.2663518,11690593.2663518
Kofi Owusu,22309600,33703860.2503585,11394260.2503585
Jonas Toure,34092800,45455461.5884328,11362661.5884328
Kofi Moreau,5856000,17034846.0388911,11178846.0388911
Jordan Garcia,16041400,27196594.2631311,11155194.2631311
Antoine Lefevre,17194750,28195844.9582171,11001094.9582171
Yannick Almeida,21816333.3333,32692473.4510367,10876140.1177367
Kylian Jansen,12052250,22917058.0519247,10864808.0519247
Andre Lefevre,17146333.3333,27754128.0235536,10607794.6902536
Rafael Muller,18788000,29215685.4004738,10427685.4004738
Ibrahim de Vries,36164200,46380000.4732283,10215800.4732283
Adama Silva,13231800,23045385.8687647,9813585.86876466
Mikkel Jansen,38491000,48139340.3779327,9648340.3779327
Finn Brown,13916000,23383896.9505611,9467896.95056106
Kylian Smith,14664000,24092938.4695709,9428938.4695709
Noah Carvalho,53750000,63107665.3427922,9357665.3427922
Adama Costa,36635250,45917433.5982427,9282183.59824266
Noah Moreau,11091000,20343300.0980267,9252300.09802674
Antoine Sousa,12864400,21889294.7779937,9024894.77799373
Ethan Owusu,12459666.6667,21480305.3829318,9020638.71623176
Lucas Fischer,12485750,21233717.5346889,8747967.53468889
Noah Bianchi,39009000,47446924.1449441,8437924.14494409
Marco Weber,38794000,46818673.8430287,8024673.84302866
Jonas Romano,38345666.6667,46077028.7126151,7731362.04591512
Rafael Silva,29572500,37278052.2512575,7705552.25125754
Sven Traore,19305200,26802408.2653255,7497208.26532554
Vlad de Vries,43833750,51183664.7296013,7349914.72960134
Carlos Dubois,19926750,27041324.1353778,7114574.13537775
Callum Pereira,27199000,34275639.9430579,7076639.94305788
Nuno Traore,20233000,27260841.0465733,7027841.0465733
Leon Smith,17964800,24978037.0478155,7013237.04781546
Omar Ferreira,21038000,28019528.2263909,6981528.22639094
Kwame Moreau,37580500,44552802.8826023,6972302.88260233
Erik Bianchi,22833250,29768155.7193545,6934905.7193545
Tyrone Martins,48620500,55399780.5098672,6779280.50986715
Karim Nielsen,51332400,58024879.7011156,6692479.70111559
Sven Pereira,43752000,50289575.2125379,6537575.21253791
Noah Carvalho,47632750,54064253.4218235,6431503.42182352
Vlad Martins,22650500,29016351.1210143,6365851.12101433
Omar Santos,53604250,59889606.1766748,6285356.17667484
Julien Fernandez,21145250,27378298.5092372,6233048.50923721
Owen Bianchi,17913800,24139261.3877315,6225461.38773146
Callum Lopez,24343666.6667,30401896.4036552,6058229.73695524
Ivan Lopez,35536800,41409488.318607,5872688.31860701
Mateus Schmidt,16481800,22307687.0007182,5825887.00071821
Luca Mensah,16353400,22138788.1071795,5785388.10717953
Karim Lefevre,24908600,30502814.1664774,5594214.16647743
Jordan Muller,27806600,33381785.5014265,5575185.50142645
Marcus Santos,36106500,41540095.2101721,5433595.21017213
Luca Rossi,20206250,25548723.7736559,5342473.77365587
Omar de Vries,22117000,27323822.0876998,5206822.08769977
Leon Novak,27393000,32565681.5730735,5172681.57307348
Hugo Moreau,17025250,22138783.0688852,5113533.06888516
Marco Brown,22828500,27790930.896277,4962430.89627698
Thiago Sousa,19289500,24185780.368315,4896280.368315
Vlad Bernard,30575000,35414229.5606235,4839229.56062349
Diego Wilson,37616000,42432845.5281366,4816845.52813658
Carlos Andersen,16846600,21629238.0018025,4782638.00180247
Kofi Brown,33131250,37814639.9768346,4683389.97683464
Mateus Bianchi,45610666.6667,50189671.2183214,4579004.55162143
Marcus Lefevre,22554000,27054136.9903076,4500136.99030758
Owen Novak,35788000,40145840.218699,4357840.21869895
Kevin Weber,29822000,34169330.9944487,4347330.99444869
Thiago Silva,29469500,33785028.7176505,4315528.71765049
Antoine Jansen,23960250,28205476.6401134,4245226.6401134
Marco Andersen,22996500,27237637.3490529,4241137.34905291
Lucas Diallo,31842250,35984913.0103179,4142663.01031785
Nuno Mensah,35381000,39461128.7779475,4080128.77794755
Marco Smith,16360666.6667,20373384.8092078,4012718.14250781
Tyrone Lefevre,43367333.3333,47333499.3860413,3966166.05274134
Andre Fernandez,41053500,44993009.0458613,3939509.04586126
Hugo Lopez,40684000,44574214.8993352,3890214.89933524
Felix Costa,22582750,26444797.3976058,3862047.39760578
Mateus Mensah,35547200,39273258.0896419,3726058.08964186
Remi Fernandez,31404000,34913450.5133374,3509450.51333742
Leon Horvat,19392000,22672613.636744,3280613.63674403
Diego Jansen,39433400,42660755.4094057,3227355.40940566
Jonas Nielsen,21213000,24405791.8874362,3192791.88743619
Jordan Jansen,23938500,27084247.4112697,3145747.41126973
Youssef Pereira,23484000,26602374.7234832,3118374.72348319
Liam Kovac,27182500,30253611.2738825,3071111.27388245
Leon Pereira,44953000,48015653.1434303,3062653.14343032
Mateus Fischer,45839333.3333,48817895.3041097,2978561.9708097
Petar Taylor,31606500,34400194.3483003,2793694.34830033
Karim Bernard,18582750,21366579.5550055,2783829.55500554
Diego Almeida,20620750,23340088.0924127,2719338.09241269
Luca Toure,20761400,23415064.0190346,2653664.01903464
Luca Owusu,17166800,19812307.8701138,2645507.87011377
Kevin Santos,39822000,42463905.8128819,2641905.81288189
Ethan Wilson,36878800,39492897.7090281,2614097.70902811
Thiago Moreau,54822400,57366252.9511372,2543852.95113724
Nils Bianchi,19092500,21603651.1492157,2511151.14921573
Yannick Carvalho,38486600,40988405.4335686,2501805.43356857
Finn Almeida,28613666.6667,30897694.7492062,2284028.08250624
Noah de Vries,49125000,51311855.8653749,2186855.86537492
Lars Santos,40043600,42221322.242748,2177722.24274799
Thiago Petrov,25239800,27382584.5324324,2142784.53243242
Bruno Novak,20728000,22830140.4805051,2102140.48050507
Kevin Traore,21864600,23855709.6264648,1991109.6264648
Pedro Fernandez,31771250,33502680.6634646,1731430.66346457
Vlad Brown,21105600,22689361.9950446,1583761.99504457
Bruno Wilson,41937000,43329421.2856913,1392421.28569129
Hugo Wilson,46435400,47490953.5448584,1055553.54485841
Omar Rossi,52909500,53922172.3269319,1012672.32693185
Kylian Horvat,26958333.3333,27968701.9526528,1010368.61935275
Owen Garcia,42536600,43544789.8622174,1008189.86221738
Youssef Fischer,29073800,29995569.1500744,921769.15007437
Jamal Garcia,20512400,21393797.000337,881397.000336979
Thiago Silva,21102400,21968791.8605626,866391.860562634
Bruno Lefevre,27340400,28192664.3592433,852264.359243315
Hugo Martins,40107400,40945554.4311653,838154.431165323
Liam Pereira,30124600,30945159.5212136,820559.521213599
Marcus Weber,21138000,21883095.7783736,745095.778373648
Mikkel Mensah,55137750,55763899.61033,626149.610329971
Andre Toure,28583250,29191527.6613639,608277.661363948
Karim Schmidt,24749600,25280349.4151945,530749.415194526
Nils Owusu,35042666.6667,35247461.3353125,204794.668612473
Nuno Almeida,27773500,27877608.2322582,104108.232258175
Kevin Diallo,20850333.3333,20935530.8103899,85197.4770898707
Owen Ferreira,40977800,41061328.6283534,83528.6283534169
Liam Kovac,27718333.3333,27732442.9224774,14109.589177426
